チーム,年度,営業収益,広告料収入,入場料収入,Ｊリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,div,順位,勝ち点,勝ち,分け,負け,得点,失点,入場者数
札幌,2021年度,3392,1445,440,434,25,329,719,3705,1660,313,287,50,0,258,1137,-313,78,11,-246,300,71,-17,2,-19,1,10,51,14,9,15,48,50,6817
仙台,2021年度,2121,1104,268,395,59,46,249,2259,1156,91,262,71,0,35,644,-138,14,6,-130,6,11,-135,5,-140,1,19,28,5,13,20,31,62,6152
鹿島,2021年度,6603,2511,581,578,239,695,1999,6545,2868,425,469,145,0,534,2104,58,9,59,8,0,0,8,0,8,1,4,69,21,6,11,62,36,7818
浦和,2021年度,6891,3898,626,471,26,841,1029,6990,3089,390,521,87,121,566,2216,-99,105,3,3,0,0,3,1,2,1,6,63,18,9,11,45,30,8244
柏,2021年度,3906,2987,237,399,22,1,260,4275,3105,133,199,22,0,1,815,-369,12,42,-399,0,0,-399,1,-400,1,15,41,12,5,21,37,56,4445
ＦＣ東京,2021年度,4772,2497,511,664,375,442,283,4998,2712,275,336,206,0,325,1144,-226,63,4,-167,0,311,-478,7,-485,1,9,53,15,8,15,49,53,7139
川崎Ｆ,2021年度,6982,2880,490,724,220,996,1672,6425,3630,199,446,62,0,698,1390,557,39,0,596,0,0,596,150,446,1,1,92,28,8,2,81,28,7215
横浜ＦＭ,2021年度,5228,2197,654,929,0,775,673,5242,2541,301,445,0,0,494,1461,-14,25,8,3,0,0,3,-1,4,1,2,79,24,7,7,82,35,8991
横浜ＦＣ,2021年度,2560,1085,248,382,185,120,540,2623,1513,108,242,175,0,111,474,-63,28,10,-45,0,22,-67,1,-68,1,20,27,6,9,23,32,77,4511
湘南,2021年度,2178,1229,229,359,66,104,191,2311,1293,127,163,42,8,33,645,-133,18,6,-121,124,0,3,2,1,1,16,37,7,16,15,36,41,4850
清水,2021年度,4366,2683,439,387,313,166,378,4328,2127,222,655,194,0,61,1069,38,30,13,55,14,59,10,-2,12,1,14,42,10,12,16,37,54,7455
名古屋,2021年度,6173,3534,592,542,193,584,728,5927,3089,310,546,103,0,355,1524,246,26,581,-309,0,0,-309,30,-339,1,5,66,19,9,10,44,30,11085
Ｇ大阪,2021年度,5179,1923,249,522,170,480,1835,5206,2735,291,472,158,0,436,1114,-27,283,174,82,0,0,82,0,82,1,13,44,12,8,18,33,49,5346
Ｃ大阪,2021年度,3738,1994,361,498,0,293,592,4435,2449,324,588,0,0,217,857,-697,7,10,-700,360,75,-415,0,-415,1,12,48,13,9,16,47,51,5070
神戸,2021年度,6389,1681,486,438,232,462,3090,9527,5052,279,557,189,0,369,3081,-3138,40,135,-3233,3300,2,65,18,47,1,3,73,21,10,7,62,36,7120
広島,2021年度,3460,1779,262,498,68,297,556,3485,1876,259,321,134,86,217,592,-25,18,4,-11,40,4,25,6,19,1,11,49,12,13,13,44,42,5920
徳島,2021年度,2745,1604,167,376,66,138,394,2710,1684,100,305,60,0,111,450,35,8,0,43,0,0,43,14,29,1,17,36,10,6,22,34,55,5631
福岡,2021年度,2132,803,312,399,164,173,281,2614,1643,119,243,69,0,137,403,-482,4,24,-502,9,11,-504,1,-505,1,8,54,14,12,12,42,37,5403
鳥栖,2021年度,2267,652,468,394,48,198,507,2464,1334,126,197,53,0,122,632,-197,58,32,-171,0,50,-221,0,-221,1,7,59,16,11,11,43,35,7276
大分,2021年度,2096,758,354,388,45,139,412,2106,1251,93,195,66,2,68,431,-10,6,1,-5,0,0,-5,0,-5,1,17,35,9,8,21,31,55,6723
J1合計,2021年度,83178,39244,7974,9777,2516,7279,16388,88175,46807,4485,7449,1886,217,5148,22183,-4997,871,1123,-5249,4153,616,-1712,235,-1947,1,-,-,-,-,-,-,-,-
J1平均,2021年度,4159,1962,399,489,126,364,819,4409,2340,224,372,94,11,257,1109,-250,44,56,-262,208,31,-86,12,-97,1,-,-,-,-,-,-,-,-
秋田,2021年度,775,388,38,156,56,36,101,782,265,58,117,42,0,35,265,-7,38,1,30,0,4,26,-9,35,2,13,47,11,14,17,41,53,2097
山形,2021年度,1847,699,181,147,0,127,693,1836,588,104,185,0,0,95,864,11,20,2,29,0,1,28,9,19,2,7,68,20,8,14,61,49,5082
水戸,2021年度,824,313,78,158,29,80,166,873,351,87,99,21,0,73,242,-49,1,0,-48,1,1,-48,1,-49,2,10,59,16,11,15,59,50,2696
栃木,2021年度,978,495,105,153,63,81,81,964,323,95,136,33,0,44,333,14,10,1,23,0,1,22,3,19,2,14,45,10,15,17,37,51,3861
群馬,2021年度,637,323,57,157,0,48,52,672,298,69,96,11,0,33,165,-35,16,0,-19,0,5,-24,3,-27,2,18,41,9,14,19,35,56,2082
大宮,2021年度,3115,2281,200,161,225,125,123,3082,1354,181,309,100,50,136,952,33,19,52,0,0,0,0,0,0,2,16,42,9,15,18,51,56,4311
千葉,2021年度,2371,1655,188,158,69,118,183,2359,1053,158,211,98,75,88,676,12,23,23,12,0,15,-3,-4,1,2,8,66,17,15,10,48,36,4068
東京Ｖ,2021年度,1755,942,106,153,195,132,227,1860,678,104,280,65,63,100,570,-105,6,6,-105,0,0,-105,0,-105,2,12,58,16,10,16,62,66,3246
町田,2021年度,1492,1099,75,144,26,52,96,1494,655,153,161,25,0,41,459,-2,9,2,5,0,0,5,2,3,2,5,72,20,12,10,64,38,2578
相模原,2021年度,776,416,85,169,0,44,62,677,265,70,74,0,0,32,236,99,14,20,93,0,1,92,22,70,2,19,38,8,14,20,33,54,2372
甲府,2021年度,1292,718,177,161,18,102,116,1228,483,79,184,13,0,81,388,64,26,6,84,0,0,84,17,67,2,3,80,23,11,8,65,38,4325
松本,2021年度,1903,968,358,165,17,143,252,1829,823,167,156,26,0,91,566,74,45,1,118,0,0,118,38,80,2,22,34,7,13,22,36,71,6154
新潟,2021年度,2208,954,475,174,155,314,136,2130,691,236,197,160,0,235,611,78,203,33,248,152,0,400,128,272,2,6,68,18,14,10,61,40,10879
金沢,2021年度,761,313,47,155,56,69,121,759,347,46,105,30,0,41,190,2,2,0,4,0,0,4,2,2,2,17,41,10,11,21,39,60,5968
磐田,2021年度,3108,1855,358,180,138,363,214,3239,1583,343,237,119,0,256,701,-131,83,14,-62,0,0,-62,-31,-31,2,1,91,27,10,5,75,42,5202
京都,2021年度,2209,1534,223,164,116,28,144,2092,1130,154,170,105,0,26,507,117,16,1,132,0,0,132,27,105,2,2,84,24,12,6,59,31,4153
岡山,2021年度,1571,757,141,166,104,106,297,1557,612,111,131,18,0,106,579,14,7,3,18,0,0,18,0,18,2,11,59,15,14,13,40,36,4153
山口,2021年度,1010,529,117,173,39,89,63,1136,483,110,121,89,3,53,277,-126,6,0,-121,0,0,-121,0,-121,2,15,43,10,13,19,37,51,3011
愛媛,2021年度,845,395,41,160,87,31,131,825,403,38,99,51,20,30,184,20,12,1,31,2,4,29,4,25,2,20,35,7,14,21,38,67,1854
北九州,2021年度,1094,500,122,155,83,72,162,1062,449,88,110,66,0,57,292,32,0,0,32,0,3,29,2,27,2,21,35,7,14,21,35,66,2974
長崎,2021年度,1980,1240,167,160,44,184,185,2984,1384,167,416,70,0,168,779,-1004,0,3,-1007,1029,0,22,10,12,2,4,78,23,9,10,69,44,4956
琉球,2021年度,641,248,34,155,55,41,108,771,369,54,56,35,0,25,232,-130,7,4,-127,0,0,-127,1,-128,2,9,65,18,11,13,57,47,1618
J2合計,2021年度,33192,18622,3373,3524,1575,2385,3713,34211,14587,2672,3650,1177,211,1846,10068,-1019,563,173,-630,1184,35,519,225,294,2,-,-,-,-,-,-,-,-
J2平均,2021年度,1509,846,153,160,72,108,169,1555,663,121,166,54,10,84,458,-46,26,8,-29,54,2,24,10,13,2,-,-,-,-,-,-,-,-
八戸,2021年度,337,167,7,26,0,28,109,350,72,18,48,0,0,31,181,-13,24,7,4,0,0,4,0,4,3,13,29,7,8,13,24,44,1137
盛岡,2021年度,588,467,13,31,22,29,26,577,286,50,72,24,0,24,121,11,5,1,15,0,0,15,5,10,3,2,53,15,8,5,43,28,1394
福島,2021年度,367,172,7,28,18,35,107,412,140,28,69,6,0,20,149,-45,5,3,-43,0,0,-43,0,-43,3,5,45,13,6,9,41,32,877
ＹＳ横浜,2021年度,252,136,12,28,0,10,66,208,54,34,32,0,0,12,76,44,1,1,44,0,0,44,-1,45,3,8,40,11,7,10,31,33,1157
長野,2021年度,708,432,31,28,47,6,164,689,278,24,71,30,31,2,253,19,1,1,19,0,0,19,0,19,3,9,36,8,12,8,35,28,2518
富山,2021年度,627,409,32,29,70,37,50,623,239,43,86,35,0,25,195,4,4,2,6,0,0,6,0,6,3,4,46,13,7,8,40,34,2780
藤枝,2021年度,358,274,12,28,14,21,9,359,176,13,71,3,3,11,82,-1,3,0,2,0,0,2,0,2,3,10,32,8,8,12,42,42,1323
沼津,2021年度,361,191,9,30,51,30,50,408,130,23,57,2,0,19,177,-47,9,2,-40,0,0,-40,0,-40,3,14,27,7,6,15,32,44,1482
岐阜,2021年度,750,465,49,32,55,70,79,881,373,65,106,68,0,53,216,-131,2,1,-130,0,0,-130,0,-130,3,6,41,12,5,11,38,35,3505
鳥取,2021年度,381,159,24,28,43,24,103,447,112,15,45,26,0,8,241,-66,3,6,-69,0,13,-82,0,-82,3,12,29,9,2,17,36,53,1186
讃岐,2021年度,408,198,21,29,38,30,92,443,182,35,76,23,0,18,109,-35,9,13,-39,0,0,-39,0,-39,3,15,21,4,9,15,20,41,1186
今治,2021年度,917,552,20,32,34,29,250,933,308,69,101,31,4,19,401,-16,21,2,3,0,0,3,1,2,3,11,30,7,9,12,34,33,1475
熊本,2021年度,550,319,52,33,0,44,102,587,242,29,60,0,0,40,216,-37,4,2,-35,0,0,-35,2,-37,3,1,54,15,9,4,39,20,3342
宮崎,2021年度,291,197,20,28,7,11,28,279,106,26,40,5,0,6,96,12,1,1,12,0,9,3,1,2,3,3,53,16,5,7,44,31,1124
鹿児島,2021年度,692,400,32,30,0,81,149,691,233,66,118,0,0,43,231,1,5,4,2,0,0,2,0,2,3,7,40,11,7,10,34,35,3738
J3合計,2021年度,7587,4538,341,440,399,485,1384,7887,2931,538,1052,253,38,331,2744,-300,97,46,-249,0,22,-271,8,-279,3,-,-,-,-,-,-,-,-
J3平均,2021年度,506,303,23,29,27,32,92,526,195,36,70,17,3,22,183,-20,6,3,-17,0,1,-18,1,-19,3,-,-,-,-,-,-,-,-
いわき,2021年度,528,380,21,0,6,45,76,654,220,15,57,16,0,29,317,-126,130,0,4,3,4,3,2,1,4,,,,,,,,
札幌,2020年度,3096,1736,244,411,26,271,408,3487,1614,211,269,58,0,189,1146,-391,94,17,-314,87,43,-270,1,-271,1,12,39,10,9,15,47,58,4303
仙台,2020年度,1997,1015,168,367,60,193,194,2493,1246,75,207,56,90,168,651,-496,35,4,-465,0,16,-481,-1,-480,1,17,28,6,10,18,36,61,4163
鹿島,2020年度,4797,2061,475,843,196,682,540,5746,2550,338,341,125,0,499,1893,-949,12,8,-945,0,0,-945,0,-945,1,5,59,18,5,11,55,44,6141
浦和,2020年度,5771,3750,423,400,22,814,362,6539,3119,320,418,55,88,465,2074,-768,179,10,-599,0,12,-611,1,-612,1,10,46,13,7,14,43,56,7869
柏,2020年度,4613,2893,143,382,17,1,1177,4615,2879,123,853,14,0,1,745,-2,46,22,22,0,0,22,1,21,1,7,52,15,7,12,60,46,3246
ＦＣ東京,2020年度,4588,2284,314,639,293,371,687,5007,3034,258,332,149,0,291,943,-419,116,15,-318,0,0,-318,7,-325,1,6,57,17,6,11,47,42,5913
川崎Ｆ,2020年度,5445,2097,435,1139,160,678,936,5662,3036,195,363,47,0,490,1531,-217,54,1,-164,0,0,-164,-33,-131,1,1,83,26,5,3,88,31,7862
横浜ＦＭ,2020年度,5864,2727,497,949,308,1039,344,5929,2962,242,466,170,0,605,1484,-65,78,11,2,1,0,3,-1,4,1,9,47,14,5,15,69,59,7969
横浜ＦＣ,2020年度,2165,1078,151,363,156,110,307,2033,1010,96,238,157,0,108,424,132,10,1,141,0,91,50,41,9,1,15,33,9,6,19,38,60,3560
湘南,2020年度,2188,1108,161,417,49,35,418,2332,1121,133,155,41,6,44,832,-144,9,3,-138,157,9,10,9,1,1,18,27,6,9,19,29,48,4467
清水,2020年度,4545,2753,295,385,284,377,451,4330,1937,165,581,170,0,289,1188,215,18,14,219,0,178,41,3,38,1,16,28,7,7,20,48,70,5235
名古屋,2020年度,5236,3424,378,393,146,406,489,5880,3525,219,412,106,0,274,1344,-644,122,7,-529,0,0,-529,0,-529,1,3,63,19,6,9,45,28,8557
Ｇ大阪,2020年度,4491,1898,324,405,147,496,1221,4926,2721,327,379,144,0,392,963,-435,126,32,-341,0,0,-341,0,-341,1,2,65,20,5,9,46,42,7602
Ｃ大阪,2020年度,2915,1699,310,394,0,214,298,3579,2020,247,418,0,0,182,712,-664,11,4,-657,0,144,-801,0,-801,1,4,60,18,6,10,46,37,7014
神戸,2020年度,4714,1669,422,471,197,509,1446,9845,6396,240,602,138,0,414,2055,-5131,59,66,-5138,5250,26,86,45,41,1,14,36,9,9,16,50,59,6042
広島,2020年度,3209,1593,272,570,61,260,453,3401,2040,165,295,101,0,181,619,-192,26,3,-169,0,1,-170,-4,-166,1,8,48,13,9,12,46,37,4545
鳥栖,2020年度,1649,558,216,364,61,122,328,2545,1389,136,197,27,0,117,679,-896,370,72,-598,0,116,-714,1,-715,1,13,36,7,15,12,37,43,4675
大分,2020年度,1756,862,259,371,35,50,179,1916,1154,75,139,68,2,31,447,-160,4,1,-157,0,7,-164,-31,-133,1,11,43,11,10,13,36,45,5158
J1合計,2020年度,69039,35205,5487,9263,2218,6628,10238,80265,43753,3565,6665,1626,186,4740,19730,-11226,1369,291,-10148,5495,643,-5296,39,-5335,1,-,-,-,-,-,-,-,-
J1平均,2020年度,3836,1956,305,515,123,368,569,4459,2431,198,370,90,10,263,1096,-624,76,16,-564,305,36,-294,2,-296,1,-,-,-,-,-,-,-,-
山形,2020年度,1674,558,115,143,0,106,752,1724,605,88,149,0,0,79,803,-50,44,10,-17,0,0,-17,2,-18,2,7,62,17,11,14,59,42,2944
水戸,2020年度,762,291,69,149,46,79,128,791,335,67,73,16,0,68,232,-29,5,0,-24,0,2,-26,1,-27,2,9,58,16,10,16,68,62,2019
栃木,2020年度,855,464,69,146,48,66,62,850,314,79,124,18,0,41,274,5,19,1,23,0,0,23,5,18,2,10,58,15,13,14,41,39,2522
群馬,2020年度,622,319,43,152,0,37,71,570,242,68,76,11,0,29,144,52,23,1,74,0,5,69,15,54,2,20,49,15,4,23,40,62,1561
大宮,2020年度,3034,2452,96,152,162,85,87,3046,1300,254,315,87,0,98,992,-12,20,8,0,0,0,0,0,0,2,15,53,14,11,17,43,52,2516
千葉,2020年度,2503,1906,133,151,76,114,123,2677,1444,142,218,82,42,89,660,-174,39,5,-140,1,37,-176,-1,-175,2,14,53,15,8,19,47,51,2778
東京Ｖ,2020年度,1493,672,90,149,138,129,314,2005,660,103,326,53,74,128,661,-512,9,23,-527,0,0,-527,0,-527,2,12,54,13,15,14,48,48,2429
町田,2020年度,1253,937,53,140,0,41,82,1252,497,130,156,30,0,24,415,1,7,0,8,0,0,8,2,6,2,19,49,12,13,17,41,52,1303
甲府,2020年度,1229,725,90,152,21,54,187,1278,609,74,160,13,0,42,380,-49,32,5,-22,0,0,-22,31,-53,2,4,65,16,17,9,50,41,2485
松本,2020年度,1928,996,245,289,14,186,198,2041,1090,137,180,14,0,110,510,-113,118,0,5,0,0,5,2,3,2,13,54,13,15,14,44,52,3976
新潟,2020年度,2194,920,370,154,147,245,358,2250,821,236,246,135,0,187,625,-56,211,12,143,0,66,77,25,52,2,11,57,14,15,13,55,55,5361
金沢,2020年度,665,275,38,148,37,48,119,710,312,50,106,19,0,35,188,-45,20,1,-26,0,0,-26,1,-27,2,18,49,12,13,17,57,67,1866
磐田,2020年度,2867,1828,189,159,110,227,354,2992,1405,320,299,143,0,153,672,-125,100,17,-42,14,0,-28,1,-29,2,6,63,16,15,11,58,47,3379
京都,2020年度,2101,1521,202,155,91,33,99,1946,929,171,176,94,0,30,546,155,39,4,190,0,0,190,34,156,2,8,59,16,11,15,47,45,3163
岡山,2020年度,1362,762,123,155,64,92,166,1399,635,98,114,11,0,86,455,-37,21,1,-17,0,0,-17,2,-19,2,17,50,12,14,16,39,49,3072
山口,2020年度,1043,568,100,166,30,71,107,1162,505,100,138,74,3,53,288,-119,9,0,-110,0,28,-138,0,-138,2,22,33,9,6,27,43,74,2106
徳島,2020年度,1672,1157,82,154,49,69,161,1586,916,81,195,29,0,62,303,86,26,1,111,0,0,111,33,78,2,1,84,25,9,8,67,33,3101
愛媛,2020年度,805,376,37,157,75,43,117,825,410,39,76,48,28,32,192,-20,35,1,14,0,0,14,3,11,2,21,34,8,10,24,38,68,1512
福岡,2020年度,1538,747,144,158,168,93,228,1825,968,109,263,76,0,67,342,-287,8,5,-284,12,14,-286,1,-287,2,2,84,25,9,8,51,29,3738
北九州,2020年度,986,421,154,151,87,72,101,903,330,88,106,42,0,66,271,83,2,0,85,0,0,85,15,70,2,5,65,19,8,15,59,51,3304
長崎,2020年度,1858,1182,147,157,32,160,180,2908,1382,137,365,79,0,128,817,-1050,24,0,-1026,830,0,-196,-47,-149,2,3,80,23,11,8,39,27,4266
琉球,2020年度,560,204,21,150,47,32,106,684,315,51,97,26,0,26,169,-124,35,7,-96,0,0,-96,0,-96,2,16,50,14,8,20,58,61,1115
J2合計,2020年度,33004,19281,2610,3487,1442,2083,4100,35424,16024,2623,3958,1100,147,1632,9939,-2420,845,102,-1679,857,152,-973,125,-1097,2,-,-,-,-,-,-,-,-
J2平均,2020年度,1500,876,119,159,66,95,186,1610,728,119,180,50,7,74,452,-110,38,5,-76,39,7,-44,6,-50,2,-,-,-,-,-,-,-,-
八戸,2020年度,261,123,5,26,0,17,90,288,70,19,34,0,0,16,149,-27,34,3,4,0,1,3,0,3,3,15,33,8,9,17,42,56,666
盛岡,2020年度,527,424,9,26,21,19,28,547,277,51,97,17,0,15,90,-20,12,5,-13,0,0,-13,2,-15,3,11,42,11,9,14,36,47,481
秋田,2020年度,461,266,19,28,32,18,98,511,184,28,79,19,0,25,176,-50,21,5,-34,0,0,-34,0,-34,3,1,73,21,10,3,55,18,1221
福島,2020年度,356,169,7,27,17,27,109,353,122,30,39,5,0,17,140,3,4,1,6,0,0,6,0,6,3,13,39,11,6,17,46,55,582
ＹＳ横浜,2020年度,73,22,7,26,0,2,16,135,49,26,12,0,0,11,37,-62,5,0,-57,3,0,-54,0,-54,3,17,27,5,12,17,37,66,623
相模原,2020年度,379,265,22,26,0,23,43,410,151,28,49,0,0,19,163,-31,30,0,-1,1,0,0,1,-1,3,2,61,16,13,5,42,35,918
長野,2020年度,564,354,34,29,31,10,106,617,248,31,74,18,23,3,220,-53,0,0,-53,0,0,-53,0,-53,3,3,59,17,8,9,45,26,2449
富山,2020年度,548,382,22,27,51,21,45,499,180,37,77,23,0,14,168,49,9,1,57,0,0,57,0,57,3,9,50,15,5,14,52,43,1217
藤枝,2020年度,293,222,8,26,8,9,20,363,178,18,61,2,3,8,93,-70,8,0,-62,56,0,-6,0,-6,3,10,49,14,7,13,48,44,683
沼津,2020年度,369,204,8,27,46,34,50,394,128,27,51,2,0,34,152,-25,12,2,-15,0,0,-15,0,-15,3,12,41,12,5,17,36,40,925
岐阜,2020年度,853,534,39,120,35,48,77,841,333,88,84,50,0,49,237,12,5,0,17,0,0,17,0,17,3,6,56,16,8,10,50,39,2644
鳥取,2020年度,283,118,25,27,42,19,52,463,114,15,46,21,0,9,258,-180,29,8,-159,0,2,-161,0,-161,3,5,57,17,6,11,47,37,808
