チーム,年度,営業収益,広告料収入,入場料収入,Ｊリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,div,順位,勝ち点,勝ち,分け,負け,得点,失点,入場者数
川崎Ｆ,2018年度,6074,1478,975,1416,196,869,1140,5599,2614,222,326,67,0,576,1794,475,2,1,476,0,0,476,154,322,1,1,69,21,6,7,57,27,23218
広島,2018年度,3367,1530,500,364,82,370,521,3597,1864,283,383,137,0,260,670,-230,12,40,-258,0,0,-258,19,-277,1,2,57,17,6,11,47,35,14346
鹿島,2018年度,7330,2156,978,806,290,839,2261,6746,3157,524,599,169,0,600,1697,584,4,1,587,0,0,587,161,426,1,3,56,16,8,10,50,39,19434
札幌,2018年度,2988,1306,636,392,25,189,440,3233,1502,327,268,168,0,143,825,-245,100,8,-153,5,16,-164,1,-165,1,4,55,15,10,9,48,48,18223
浦和,2018年度,7549,3226,1923,389,11,954,1046,7540,3108,554,564,103,84,557,2570,9,29,6,32,22,0,54,15,39,1,5,51,14,9,11,51,39,35502
ＦＣ東京,2018年度,4844,1988,947,382,420,287,820,4619,2133,455,391,303,0,287,1050,225,1,23,203,0,0,203,69,134,1,6,50,14,8,12,39,34,26432
Ｃ大阪,2018年度,3871,1786,618,554,0,418,495,4177,2334,311,457,0,0,313,762,-306,15,5,-296,300,0,4,2,2,1,7,50,13,11,10,39,38,18811
清水,2018年度,3983,1757,582,377,319,396,552,4226,1811,232,381,262,0,263,1277,-243,10,2,-235,0,19,-254,2,-256,1,8,49,14,7,13,56,48,14991
Ｇ大阪,2018年度,5159,1845,1152,391,196,458,1117,4903,2193,561,403,193,0,358,1195,256,7,10,253,0,0,253,0,253,1,9,48,14,6,14,41,46,23485
神戸,2018年度,9666,6208,840,367,249,388,1614,7641,4477,280,528,105,0,360,1891,2025,58,401,1682,0,0,1682,630,1052,1,10,45,12,9,13,45,52,21630
仙台,2018年度,2684,1137,608,363,78,219,279,2765,1232,145,252,96,118,146,776,-81,15,2,-68,0,0,-68,5,-73,1,11,45,13,6,15,44,54,15408
横浜ＦＭ,2018年度,5138,2033,1127,371,360,571,676,5119,2301,356,405,205,0,382,1470,19,2,13,8,3,7,4,2,2,1,12,41,12,5,17,56,56,21788
湘南,2018年度,2978,1224,480,424,95,315,440,2980,1384,172,212,141,0,220,851,-2,9,2,5,0,0,5,5,0,1,13,41,10,11,13,38,43,12120
鳥栖,2018年度,4257,2296,678,358,94,201,630,4393,2670,419,207,51,0,162,884,-136,8,452,-580,0,0,-580,1,-581,1,14,41,10,11,13,29,34,15000
名古屋,2018年度,5491,3345,936,363,179,412,256,5273,2823,296,455,158,0,246,1295,218,15,6,227,0,0,227,104,123,1,15,41,12,5,17,52,59,24660
磐田,2018年度,3745,1869,638,371,222,426,219,3757,1721,475,271,179,0,302,809,-12,62,5,45,0,0,45,21,24,1,16,41,10,11,13,35,48,15474
柏,2018年度,4150,1968,449,708,25,67,933,4128,2806,135,314,37,0,53,783,22,21,21,22,0,0,22,20,2,1,17,39,12,3,19,47,54,11402
長崎,2018年度,2323,1183,407,363,31,211,128,2310,814,168,239,66,0,131,892,13,4,0,17,0,6,11,-26,37,1,18,30,8,6,20,39,59,11225
J1合計,2018年度,85597,38335,14474,8759,2872,7590,13567,83006,40944,5915,6655,2440,202,5359,21491,2591,374,998,1967,330,48,2249,1185,1064,1,-,-,-,-,-,-,-,-
J1平均,2018年度,4755,2130,804,487,160,422,754,4611,2275,329,370,136,11,298,1194,144,21,55,109,18,3,125,66,59,1,-,-,-,-,-,-,-,19064
松本,2018年度,2239,991,503,152,26,263,304,2225,1145,222,170,30,0,127,531,14,25,0,39,0,0,39,9,30,2,1,77,21,14,7,54,34,13283
大分,2018年度,1128,486,254,150,39,33,166,1089,482,77,130,66,3,10,321,39,3,1,41,0,0,41,4,37,2,2,76,23,7,12,76,51,8907
横浜ＦＣ,2018年度,1522,924,167,148,72,66,146,1513,734,132,194,62,0,49,343,9,1,10,0,0,0,0,0,0,2,3,76,21,13,8,63,44,6141
町田,2018年度,755,370,108,137,0,42,98,787,278,90,82,8,0,36,293,-32,3,3,-32,0,0,-32,1,-33,2,4,76,21,13,8,62,44,4915
大宮,2018年度,3972,2611,339,282,189,156,395,3965,1915,271,682,78,0,107,912,7,1,8,0,0,0,0,0,0,2,5,71,21,8,13,65,48,9224
東京Ｖ,2018年度,1852,847,178,152,174,61,440,1848,733,106,315,90,48,34,522,4,0,1,3,0,0,3,2,1,2,6,71,19,14,9,56,41,5936
福岡,2018年度,1831,990,174,154,177,97,239,1829,909,107,258,98,0,73,384,2,4,3,3,0,0,3,1,2,2,7,70,19,13,10,58,42,8873
山口,2018年度,1126,506,212,161,17,130,100,1179,468,118,136,71,8,77,302,-53,0,0,-53,0,0,-53,3,-56,2,8,61,16,13,13,63,64,6123
甲府,2018年度,1511,760,297,286,19,62,87,1500,747,113,172,33,0,45,390,11,8,8,11,0,0,11,10,1,2,9,59,16,11,15,56,46,7384
水戸,2018年度,621,205,84,145,50,52,85,623,275,54,79,28,0,33,154,-2,3,0,1,0,0,1,1,0,2,10,57,16,9,17,48,46,4938
徳島,2018年度,1688,1098,135,146,65,61,183,1616,952,78,194,63,0,47,282,72,5,2,75,0,0,75,23,52,2,11,56,16,8,18,48,42,4997
山形,2018年度,1698,469,178,139,0,97,815,1698,524,83,164,0,0,67,860,0,21,0,21,0,0,21,9,12,2,12,56,14,14,14,49,51,6766
金沢,2018年度,736,328,69,148,58,57,76,726,331,51,89,43,0,34,178,10,1,2,9,0,0,9,3,6,2,13,55,14,13,15,52,48,4528
千葉,2018年度,2893,1994,332,146,114,145,162,2778,1272,168,334,115,64,116,709,115,4,7,112,0,37,75,12,63,2,14,55,16,7,19,72,72,9858
岡山,2018年度,1502,763,176,152,103,128,180,1483,638,137,106,27,0,106,469,19,3,0,22,0,0,22,9,13,2,15,53,14,11,17,39,43,8599
新潟,2018年度,2493,1127,507,281,191,200,187,2728,1108,267,268,137,65,166,717,-235,158,11,-88,0,61,-149,0,-149,2,16,53,15,8,19,48,56,14913
栃木,2018年度,962,525,115,145,72,70,35,947,353,74,151,53,0,36,280,15,0,2,13,0,0,13,3,10,2,17,50,13,11,18,38,48,5657
愛媛,2018年度,789,324,56,157,71,66,115,784,353,35,77,55,26,54,184,5,3,1,7,0,0,7,1,6,2,18,48,12,12,18,34,52,3161
京都,2018年度,1848,1243,173,151,133,54,94,1750,692,147,141,123,0,36,611,98,15,20,93,0,0,93,15,78,2,19,43,12,7,23,40,58,5663
岐阜,2018年度,1090,557,131,153,48,72,129,978,365,117,112,33,0,61,290,112,1,0,113,0,0,113,0,113,2,20,42,11,9,22,44,62,6858
